# prefix,country_code,region_code,city,postal
5.102.176.0/21,OM,OM-MA,Muscat,135
10.32.0.0/16,OM,OM-MA,Muscat,135
10.255.0.0/16,OM,OM-MA,Muscat,135
46.40.245.155/32,OM,OM-MA,Muscat,135
78.111.32.0/20,OM,OM-MA,Muscat,135
84.242.32.0/20,OM,OM-MA,Muscat,135
89.147.128.0/18,OM,OM-MA,Muscat,135
94.176.16.0/20,OM,OM-MA,Muscat,135
96.9.128.0/19,OM,OM-MA,Muscat,135
127.0.0.1/32,OM,OM-MA,Muscat,135
138.199.80.0/20,OM,OM-MA,Muscat,135
141.105.168.0/21,OM,OM-MA,Muscat,135
159.48.4.0/22,OM,OM-MA,Muscat,135
161.8.64.0/18,OM,OM-MA,Muscat,135
161.123.64.0/18,OM,OM-MA,Muscat,135
178.20.16.0/21,OM,OM-MA,Muscat,135
185.29.140.0/22,OM,OM-MA,Muscat,135
185.112.104.0/22,OM,OM-MA,Muscat,135
194.163.0.0/20,OM,OM-MA,Muscat,135
194.195.80.0/22,OM,OM-MA,Muscat,135
199.48.224.0/24,OM,OM-MA,Muscat,135
206.167.33.0/24,OM,OM-MA,Muscat,135